epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.5818,0.93227,1.19236,0.94637,0.00022,0.00094,0.00011,2e-05,4.60328,inf,33.4509,0.00326389,0.00326389,0.070625
2,29.3998,0.80694,0.57739,0.89619,0.83837,0.80919,0.88522,0.6953,0.81902,0.97433,0.95063,0.0065428,0.0065428,0.0405706
3,41.8729,0.76675,0.51456,0.88797,0.92084,0.89475,0.94244,0.74805,0.79533,0.67571,0.87624,0.0097667,0.0097667,0.0104611
4,53.8384,0.74496,0.49354,0.8804,0.95796,0.94517,0.97321,0.84032,0.57286,0.45951,0.82754,0.0097525,0.0097525,0.0097525
5,66.1361,0.68789,0.44473,0.87047,0.84074,0.62078,0.7566,0.63466,0.73198,1.10281,0.89836,0.00967,0.00967,0.00967
6,78.2996,0.68015,0.43108,0.86665,0.98836,0.97926,0.99304,0.86552,0.54148,0.36841,0.80341,0.0095875,0.0095875,0.0095875
7,90.1384,0.63376,0.41649,0.86008,0.97173,0.96157,0.98316,0.8657,0.52997,0.38314,0.81673,0.009505,0.009505,0.009505
8,102.205,0.64417,0.41114,0.86002,0.98789,0.97136,0.98522,0.88807,0.47699,0.37608,0.7979,0.0094225,0.0094225,0.0094225
9,114.588,0.64066,0.40202,0.85839,0.94269,0.89236,0.9546,0.82927,0.56752,0.50528,0.84376,0.00934,0.00934,0.00934
10,126.721,0.60928,0.38087,0.85408,0.99126,0.97846,0.99086,0.90483,0.44606,0.31075,0.79092,0.0092575,0.0092575,0.0092575
11,138.696,0.59857,0.37222,0.8496,0.98044,0.97593,0.99,0.91391,0.39666,0.33108,0.78739,0.009175,0.009175,0.009175
12,150.993,0.59061,0.36775,0.84717,0.98305,0.9739,0.98786,0.91089,0.41008,0.40186,0.78741,0.0090925,0.0090925,0.0090925
13,163.24,0.56983,0.35541,0.84392,0.99073,0.97872,0.99322,0.91979,0.38265,0.28845,0.78228,0.00901,0.00901,0.00901
14,175.383,0.58906,0.36055,0.84457,0.98368,0.96451,0.98688,0.89689,0.44779,0.33054,0.79335,0.0089275,0.0089275,0.0089275
15,207.001,0.5847,0.36196,0.84658,0.92648,0.87764,0.94775,0.81037,0.58278,0.47422,0.85943,0.008845,0.008845,0.008845
16,219.496,0.57709,0.35769,0.84579,0.94823,0.94419,0.97558,0.87195,0.48607,0.4478,0.80893,0.0087625,0.0087625,0.0087625
17,231.808,0.6116,0.37305,0.84958,0.91816,0.90186,0.95865,0.86396,0.47665,0.63054,0.82919,0.00868,0.00868,0.00868
18,243.975,0.56081,0.35072,0.84455,0.99299,0.98173,0.99455,0.90866,0.42862,0.29643,0.78353,0.0085975,0.0085975,0.0085975
19,261.516,0.57039,0.34821,0.84214,0.97312,0.95965,0.98572,0.92386,0.37801,0.39001,0.78721,0.008515,0.008515,0.008515
20,273.994,0.56692,0.34648,0.84135,0.85649,0.77766,0.88448,0.77291,0.5661,0.59589,0.89043,0.0084325,0.0084325,0.0084325
21,285.983,0.51754,0.32509,0.83587,0.99462,0.98336,0.99457,0.94698,0.33236,0.23944,0.77537,0.00835,0.00835,0.00835
22,297.736,0.53694,0.33551,0.83671,0.99487,0.98408,0.99457,0.93006,0.38359,0.25412,0.77813,0.0082675,0.0082675,0.0082675
23,312.94,0.53222,0.33369,0.83748,0.99229,0.9801,0.99378,0.94367,0.33707,0.25186,0.77676,0.008185,0.008185,0.008185
24,324.82,0.5437,0.33053,0.83686,0.99484,0.98086,0.99427,0.94039,0.34987,0.24257,0.775,0.0081025,0.0081025,0.0081025
